	Green	Pink	Brown	S1	S2
denovo19622	0	0	0	2	0
denovo19623	1	0	0	0	0
denovo19620	0	0	0	1	0
denovo19621	0	0	0	1	0
denovo549	0	0	1	0	0
denovo548	0	5	1	0	0
denovo547	0	0	0	1	0
denovo546	0	0	1	0	0
denovo545	0	0	0	1	0
denovo544	0	1	0	0	0
denovo543	0	0	0	0	1
denovo542	0	0	1	0	0
denovo541	0	0	1	0	0
denovo540	0	1	0	0	0
denovo15628	0	0	0	1	0
denovo15629	1	0	0	0	0
denovo15622	0	0	1	0	0
denovo15623	0	1	0	0	0
denovo15620	0	1	0	0	0
denovo15621	0	1	0	0	0
denovo15626	1	0	0	0	0
denovo15627	0	0	0	1	0
denovo15624	0	1	0	0	0
denovo15625	0	0	0	1	0
denovo19369	0	0	0	1	0
denovo19368	0	0	0	1	0
denovo13709	0	0	1	0	0
denovo13708	0	0	0	1	1
denovo19363	0	0	0	1	0
denovo19362	0	0	1	0	0
denovo19361	1	0	0	0	0
denovo13704	0	1	1	0	2
denovo19367	0	0	0	1	0
denovo19366	1	0	0	0	0
denovo13701	0	1	0	0	0
denovo13700	1	0	0	0	0
denovo14283	0	0	1	0	0
denovo14282	0	1	0	0	0
denovo14281	0	1	0	0	0
denovo14280	1	0	0	0	0
denovo14287	0	1	0	0	0
denovo14286	0	0	0	1	0
denovo14285	0	1	0	0	0
denovo14284	0	0	1	0	0
denovo14289	0	1	0	0	0
denovo14288	0	0	0	1	0
denovo20240	0	0	0	1	0
denovo20241	1	0	0	0	0
denovo20242	1	0	0	0	0
denovo18709	1	0	0	0	0
denovo20244	0	0	0	1	0
denovo20245	0	0	2	1	0
denovo20246	0	0	0	1	0
denovo20247	0	0	0	0	1
denovo20248	0	0	0	1	0
denovo18703	1	0	0	0	0
denovo18700	0	0	1	0	0
denovo18701	0	0	1	0	0
denovo18706	0	1	0	0	0
denovo18707	0	0	1	0	1
denovo18704	1	0	0	0	0
denovo18705	0	0	1	0	0
denovo13230	0	1	0	0	0
denovo1839	0	0	0	1	0
denovo1838	0	0	0	1	0
denovo1835	0	1	0	0	0
denovo1834	0	1	0	0	0
denovo1837	0	0	0	1	0
denovo1836	0	0	1	0	0
denovo1831	1	0	0	0	0
denovo1830	0	0	0	1	0
denovo1833	0	0	0	1	0
denovo1832	0	1	0	0	0
denovo23577	0	0	0	0	1
denovo23576	0	0	1	0	0
denovo23575	0	0	0	0	1
denovo23574	1	0	0	0	0
denovo23573	0	0	0	1	0
denovo23572	0	1	0	0	0
denovo23571	0	0	0	1	0
denovo23570	0	0	1	0	0
denovo23579	0	1	0	0	0
denovo23578	0	0	0	1	0
denovo7345	0	0	0	0	1
denovo7344	0	0	0	1	0
denovo7347	0	0	0	1	0
denovo21597	0	1	5	3	1
denovo21596	0	0	1	0	0
denovo21595	0	0	0	1	0
denovo21594	1	0	0	0	0
denovo21593	1	2	0	0	0
denovo21592	0	1	3	1	1
denovo16629	0	0	0	0	1
denovo21590	1	0	0	0	0
denovo16627	1	0	0	0	0
denovo16626	0	0	1	0	0
denovo16625	1	0	0	0	0
denovo16624	0	0	0	1	0
denovo16623	0	0	1	0	0
denovo16622	0	0	0	1	0
denovo16621	0	0	0	1	0
denovo21598	0	1	0	0	0
denovo7343	0	0	0	1	0
denovo7342	0	0	0	1	0
denovo21629	0	0	0	0	1
denovo21628	0	0	0	0	1
denovo9455	0	1	0	0	0
denovo9454	0	0	0	1	0
denovo9453	0	1	8	0	0
denovo9452	1	0	0	0	0
denovo9451	0	0	0	0	1
denovo9450	0	1	0	0	0
denovo21621	0	0	1	0	0
denovo21620	0	1	0	0	0
denovo21623	0	0	1	0	0
denovo21622	1	0	0	0	0
denovo21625	0	0	1	0	0
denovo21624	0	0	0	1	0
denovo21627	0	1	1	0	1
denovo21626	0	1	0	0	0
denovo1303	0	0	0	1	0
denovo1302	0	0	0	1	0
denovo1301	0	0	0	1	0
denovo1300	0	0	1	0	0
denovo1307	0	0	0	0	1
denovo1306	0	0	0	1	0
denovo1305	0	0	1	0	0
denovo1304	0	1	0	0	0
denovo1309	0	0	0	1	0
denovo1308	0	0	0	0	1
denovo14919	0	0	0	1	0
denovo14918	1	0	0	0	0
denovo14913	0	0	1	0	0
denovo14912	0	1	0	0	0
denovo14911	0	0	0	1	0
denovo14910	0	0	0	1	0
denovo14917	0	2	1	0	0
denovo14916	0	1	1	0	0
denovo14915	0	0	0	1	0
denovo14914	1	0	0	0	0
denovo8502	0	0	0	1	0
denovo8503	0	0	1	3	0
denovo8500	0	0	0	1	0
denovo8501	0	0	0	2	0
denovo8506	0	0	0	0	1
denovo8507	0	1	0	0	0
denovo11398	0	0	0	1	0
denovo11399	1	0	0	0	0
denovo11396	0	0	0	1	0
denovo11397	0	0	0	1	0
denovo8508	0	1	0	0	0
denovo8509	1	0	0	0	0
denovo11392	0	0	0	0	1
denovo11393	0	1	0	0	0
denovo11390	1	0	0	0	0
denovo11391	0	0	1	0	0
denovo2760	0	0	1	0	0
denovo9404	0	1	0	0	0
denovo2762	0	1	0	0	0
denovo2763	0	0	0	1	0
denovo2764	1	0	0	0	0
denovo2765	1	0	0	0	0
denovo2766	1	0	0	0	0
denovo21659	0	3	0	0	0
denovo2768	0	0	0	1	0
denovo2769	0	0	0	1	0
denovo6070	0	0	0	1	0
denovo6071	0	1	0	0	0
denovo6072	0	1	0	0	0
denovo6073	0	1	0	0	0
denovo6074	0	2	0	0	0
denovo6075	0	0	0	0	1
denovo6076	0	1	0	0	0
denovo6077	0	0	0	1	0
denovo6078	1	0	0	0	0
denovo6079	0	0	0	1	0
denovo10117	9	5	0	0	0
denovo10116	0	1	0	0	0
denovo10115	1	0	0	0	0
denovo10114	0	0	0	20	1
denovo10113	1	0	0	0	0
denovo10112	0	0	1	0	0
denovo10111	0	1	0	0	0
denovo10110	0	0	0	1	0
denovo21654	0	0	0	1	0
denovo10119	0	5	1	0	1
denovo9409	0	0	0	1	0
denovo25625	0	0	1	0	0
denovo25624	1	0	0	0	0
denovo25627	0	0	0	0	1
denovo25626	0	0	1	0	0
denovo25621	0	1	0	0	0
denovo25620	1	0	0	0	0
denovo25623	0	0	0	1	0
denovo25622	0	0	1	0	0
denovo25629	0	1	0	0	0
denovo25628	0	0	1	0	0
denovo3411	0	0	0	1	0
denovo3410	0	0	0	1	0
denovo3413	0	1	0	0	0
denovo3412	0	0	0	5	2
denovo3415	0	0	1	0	0
denovo3414	0	0	1	0	0
denovo3417	0	0	0	0	1
denovo3416	0	0	1	0	0
denovo3419	0	0	0	1	0
denovo3418	0	0	1	0	0
denovo7301	0	1	0	0	0
denovo7300	0	0	1	1	0
denovo7303	0	1	0	0	0
denovo7302	0	0	1	0	0
denovo7305	4	0	0	0	0
denovo7304	1	0	0	0	0
denovo7307	0	1	7	14	4
denovo7306	1	0	0	0	0
denovo7309	0	1	0	0	0
denovo7308	0	0	1	0	0
denovo5819	0	0	1	0	0
denovo5818	0	0	1	0	0
denovo5813	0	0	1	0	0
denovo5812	0	1	0	0	0
denovo5811	0	1	0	0	0
denovo5810	0	1	0	0	0
denovo5817	0	0	0	1	0
denovo5816	0	1	0	0	0
denovo5815	1	0	0	0	0
denovo5814	0	0	1	0	0
denovo6892	9	0	0	0	0
denovo6893	0	0	1	0	0
denovo6890	0	0	2	5	3
denovo6891	0	1	3	0	0
denovo6896	1	0	0	0	0
denovo6897	1	0	0	0	0
denovo6894	1	0	0	0	0
denovo6895	0	0	1	0	0
denovo6898	0	1	0	0	0
denovo6899	1	0	0	0	0
denovo17237	1	0	0	0	0
denovo17236	0	0	1	0	0
denovo17235	0	0	0	1	0
denovo17234	0	1	0	0	0
denovo17233	0	0	1	0	0
denovo17232	0	1	0	0	0
denovo17231	0	0	1	0	0
denovo17230	0	0	1	0	0
denovo17239	0	0	0	1	0
denovo17238	0	1	0	0	0
denovo943	0	0	0	0	1
denovo942	0	1	0	0	0
denovo941	0	0	0	1	0
denovo940	1	0	0	0	0
denovo947	0	0	0	1	0
denovo946	0	1	0	0	0
denovo945	0	0	1	0	0
denovo944	1	0	0	0	0
denovo949	0	0	0	1	0
denovo948	0	0	0	1	0
denovo2409	1	0	0	0	0
denovo2408	0	0	1	0	0
denovo2401	0	0	0	1	0
denovo2400	0	0	1	0	0
denovo2403	0	1	0	0	0
denovo2402	0	1	0	0	0
denovo2405	1	0	0	0	0
denovo2404	0	0	0	0	1
denovo2407	1	0	0	0	0
denovo2406	3	0	0	0	0
denovo19587	0	1	0	0	0
denovo19586	0	0	0	1	0
denovo19585	0	1	0	0	0
denovo19584	0	1	0	0	0
denovo19583	0	1	0	0	0
denovo19582	1	0	0	0	0
denovo19581	0	0	1	0	0
denovo19580	0	0	1	0	0
denovo19989	1	0	0	1	0
denovo19988	1	0	0	0	0
denovo19983	0	1	1	0	0
denovo19982	0	1	0	0	0
denovo19981	0	1	0	0	0
denovo19980	0	0	1	0	0
denovo19987	0	0	0	0	1
denovo19986	0	0	0	0	1
denovo19985	0	0	1	0	0
denovo19984	0	0	0	0	3
denovo15187	0	0	0	1	0
denovo15186	0	0	0	1	0
denovo18168	0	1	0	0	0
denovo18169	0	0	1	0	0
denovo10351	1	0	0	0	0
denovo10350	2	0	1	0	0
denovo15181	0	0	0	1	0
denovo15180	0	0	1	0	0
denovo18162	0	0	1	0	0
denovo18163	0	0	1	0	0
denovo18160	0	0	0	0	1
denovo18161	0	0	0	1	1
denovo18166	0	0	0	1	0
denovo18167	0	0	1	0	0
denovo18164	0	0	0	1	0
denovo18165	0	0	0	0	1
denovo14858	0	1	0	0	0
denovo14859	2	0	0	0	0
denovo14852	0	1	0	0	0
denovo14853	0	1	0	0	0
denovo14850	0	1	0	0	0
denovo14851	0	1	0	0	0
denovo14856	0	1	0	0	0
denovo14857	0	1	0	1	0
denovo14854	0	1	0	0	0
denovo14855	0	0	1	0	0
denovo20855	0	0	1	0	0
denovo20854	0	0	0	0	1
denovo20857	1	0	0	0	0
denovo20856	2	0	0	0	0
denovo20851	0	1	0	0	0
denovo20850	0	2	0	0	0
denovo20853	1	0	0	0	0
denovo20852	0	1	0	0	0
denovo20859	0	0	1	0	0
denovo20858	0	0	0	1	0
denovo18298	0	0	1	0	0
denovo18299	0	0	0	1	0
denovo18294	1	0	0	1	0
denovo18295	0	0	0	1	0
denovo18296	0	0	0	0	1
denovo18297	1	3	1	0	0
denovo18290	1	0	0	0	0
denovo18291	5	0	0	0	0
denovo18292	0	0	0	1	0
denovo18293	1	0	0	0	0
denovo14588	0	0	0	1	0
denovo14589	0	0	0	1	0
denovo14584	0	0	0	1	0
denovo14585	1	0	0	0	0
denovo14586	0	0	1	0	0
denovo14587	0	0	0	1	0
denovo14580	1	0	0	0	0
denovo14581	0	0	0	0	1
denovo14582	0	0	2	0	0
denovo14583	0	152	86	69	55
denovo6943	2	0	0	0	0
denovo9929	0	1	0	0	0
denovo9928	0	0	3	14	18
denovo9923	0	0	0	1	0
denovo9922	0	0	0	1	0
denovo9921	1	0	0	0	0
denovo9920	0	1	0	0	0
denovo9927	1	0	0	0	0
denovo9926	1	0	0	0	0
denovo9925	0	0	1	0	0
denovo9924	0	0	1	0	0
denovo11408	0	0	1	0	0
denovo11409	0	0	0	0	1
denovo15459	0	0	1	0	0
denovo15458	0	0	2	0	0
denovo11407	0	0	1	0	0
denovo15451	0	1	0	0	0
denovo15450	1	0	0	0	0
denovo15453	0	1	0	0	0
denovo15452	1	0	0	0	0
denovo15455	0	0	0	1	0
denovo11404	1	0	0	0	0
denovo15457	0	0	1	0	0
denovo15456	0	0	1	0	0
denovo14328	1	0	0	0	0
denovo14329	2	0	0	0	0
denovo8699	0	1	0	0	0
denovo13118	7	0	0	1	0
denovo13119	0	0	0	1	0
denovo14320	0	1	0	0	0
denovo13117	0	0	0	7	13
denovo14322	0	0	1	0	0
denovo14323	0	0	0	1	0
denovo14324	0	0	0	1	0
denovo14325	0	1	0	0	0
denovo14326	0	1	0	0	0
denovo14327	0	0	0	1	0
denovo11401	1	0	0	0	0
denovo12861	0	1	0	0	0
denovo12860	0	0	1	0	0
denovo12863	0	0	1	0	0
denovo12862	0	1	0	0	0
denovo12865	0	0	0	1	0
denovo12864	0	0	0	0	1
denovo12867	0	0	0	1	0
denovo12866	1	0	0	0	0
denovo12869	0	0	1	0	0
denovo12868	0	1	0	0	0
denovo21818	0	0	0	1	0
denovo21819	0	0	0	1	5
denovo21816	0	2	0	0	0
denovo21817	0	1	0	0	0
denovo21814	0	0	1	0	0
denovo21815	0	1	0	0	0
denovo21812	0	0	0	1	0
denovo21813	0	0	0	1	0
denovo21810	0	0	0	0	1
denovo21811	0	0	0	1	0
denovo22549	0	0	0	1	0
denovo22548	0	0	1	0	0
denovo22545	1	0	0	0	0
denovo22544	0	1	0	0	0
denovo22547	0	1	0	0	0
denovo22546	37	0	0	0	0
denovo22541	1	0	0	0	0
denovo22540	0	0	1	0	0
denovo22543	0	2	0	0	0
denovo22542	1	0	0	0	0
denovo12249	0	0	0	1	0
denovo12248	0	0	0	1	0
denovo12245	1	0	0	0	0
denovo12244	0	0	1	0	0
denovo12247	0	0	0	1	0
denovo12246	0	1	0	0	0
denovo12241	0	0	1	0	0
denovo12240	0	1	0	0	0
denovo12243	0	0	0	1	0
denovo12242	0	0	0	1	0
denovo8209	0	1	0	0	0
denovo8208	0	0	0	2	0
denovo8205	0	1	0	0	0
denovo8204	0	0	0	0	1
denovo8207	0	0	0	1	0
denovo18389	1	0	0	0	0
denovo8201	0	0	1	0	0
denovo8200	0	0	0	1	0
denovo8203	0	0	1	0	0
denovo8202	0	0	1	0	0
denovo18939	0	1	0	0	0
denovo18938	0	0	0	0	1
denovo20035	0	1	0	0	0
denovo20034	0	1	0	0	0
denovo20033	0	0	1	0	0
denovo20032	0	0	0	0	1
denovo20031	1	0	0	0	0
denovo20030	0	0	0	1	0
denovo17747	0	0	0	1	0
denovo17746	0	0	1	10	5
denovo18933	0	0	0	1	0
denovo18932	0	2	8	1	3
denovo17743	0	0	0	0	2
denovo17742	0	0	0	1	0
denovo17741	0	0	0	1	0
denovo17740	0	0	1	0	0
denovo11741	0	0	1	0	0
denovo7920	0	0	0	1	0
denovo11743	0	0	1	0	0
denovo11742	0	1	0	0	0
denovo11745	1	0	0	0	0
denovo11744	1	0	0	0	0
denovo11747	0	0	2	0	0
denovo11746	0	0	2	0	0
denovo11749	2	0	0	0	0
denovo11748	0	1	0	0	0
denovo7699	0	1	0	0	0
denovo7698	0	0	1	0	0
denovo7693	0	0	0	1	0
denovo7692	0	0	1	0	0
denovo7691	0	1	0	0	0
denovo7690	0	0	1	0	0
denovo7697	1	0	0	0	0
denovo7696	0	0	0	1	0
denovo7695	0	1	0	0	0
denovo7694	0	0	0	1	0
denovo25126	0	0	0	1	0
denovo25127	0	2	0	0	0
denovo25124	0	0	0	1	0
denovo25125	0	0	0	1	0
denovo25122	0	0	1	0	0
denovo25123	1	1	0	0	0
denovo5208	0	0	1	0	0
denovo5209	0	0	1	0	0
denovo5206	1	0	0	0	0
denovo5207	0	0	1	0	0
denovo5204	0	0	1	0	0
denovo5205	0	0	0	1	0
denovo5202	0	0	1	0	0
denovo5203	0	0	1	0	0
denovo5200	0	1	1	0	0
denovo5201	0	0	1	0	0
denovo9552	0	0	1	0	0
denovo9553	0	0	2	0	0
denovo9550	1	0	0	0	0
denovo9551	0	0	0	2	0
denovo9556	0	1	0	0	0
denovo9557	0	1	0	0	0
denovo9554	0	0	1	1	0
denovo9555	0	0	0	2	0
denovo9558	0	8	12	1	1
denovo9559	0	1	0	0	0
denovo10830	0	1	0	0	0
denovo10831	0	1	0	0	0
denovo10832	0	2	0	0	0
denovo10833	0	2	0	0	0
denovo10834	0	0	0	0	1
denovo10835	0	0	0	0	1
denovo10836	0	0	1	0	0
denovo10837	0	1	0	0	0
denovo10838	0	1	0	0	0
denovo10839	0	1	0	0	0
denovo25782	1	4	0	2	0
denovo25783	0	0	0	1	0
denovo25780	0	0	1	0	0
denovo25781	0	1	0	0	0
denovo25786	0	1	0	0	0
denovo25787	0	0	0	1	0
denovo25784	0	0	0	0	1
denovo25785	1	0	0	0	0
denovo25788	0	0	0	0	1
denovo25789	0	0	0	0	1
denovo3330	0	0	2	3	6
denovo3331	0	0	0	1	0
denovo3332	0	1	0	0	0
denovo3333	1	0	0	0	0
denovo3334	0	1	0	0	0
denovo3335	0	0	1	0	0
denovo3336	0	1	0	0	0
denovo3337	4	0	0	0	0
denovo3338	0	0	1	0	0
denovo3339	0	1	0	0	0
denovo4641	0	0	1	0	0
denovo4640	1	0	0	0	0
denovo4643	1	0	0	0	0
denovo4642	0	1	0	0	0
denovo4645	1	0	0	0	0
denovo4644	0	0	0	0	1
denovo4647	0	1	0	0	0
denovo4646	0	6	7	2	0
denovo4649	1	0	0	0	0
denovo4648	0	1	0	0	0
denovo25878	0	1	0	0	0
denovo25879	0	1	0	0	0
denovo13879	1	0	0	0	0
denovo13878	1	0	0	0	0
denovo3598	1	0	0	0	0
denovo3599	0	0	0	1	0
denovo13871	1	0	0	0	0
denovo13870	0	0	0	0	1
denovo13873	1	0	0	0	0
denovo13872	0	0	1	0	0
denovo13875	0	0	1	0	0
denovo13874	0	0	0	0	1
denovo13877	0	0	1	0	0
denovo13876	0	0	1	0	0
denovo5996	0	0	1	0	0
denovo5997	0	0	1	0	0
denovo5994	0	1	0	0	0
denovo5995	0	1	0	0	0
denovo5992	1	0	0	0	0
denovo5993	0	0	1	0	0
denovo5990	0	0	0	1	0
denovo5991	1	0	0	0	0
denovo5998	0	1	0	0	0
denovo5999	1	0	0	0	0
denovo7176	1	0	0	0	0
denovo7177	0	1	0	0	0
denovo7174	1	0	0	0	0
denovo7175	0	0	0	1	0
denovo7172	1	0	0	0	0
denovo7173	0	1	0	0	0
denovo7170	0	0	0	1	0
denovo7171	0	0	0	0	1
denovo7178	0	0	0	1	0
denovo7179	0	0	0	1	0
denovo334	0	0	1	0	0
denovo335	0	0	1	0	0
denovo336	1	0	0	0	0
denovo337	0	0	0	0	1
denovo330	1	0	0	0	0
denovo331	0	0	0	1	0
denovo332	0	1	0	0	0
denovo333	0	0	1	0	0
denovo338	1	0	0	0	0
denovo339	1	0	0	0	0
denovo6427	0	0	0	1	0
denovo13000	1	0	0	0	0
denovo13001	1	0	0	0	0
denovo13002	2	0	0	0	0
denovo6426	0	0	0	0	1
denovo13003	0	0	1	0	0
denovo14056	0	0	0	1	0
denovo14057	0	0	0	1	0
denovo14054	0	0	1	0	0
denovo13007	0	2	0	0	0
denovo6424	0	0	0	1	0
denovo19518	0	0	1	0	0
denovo19519	0	0	0	1	0
denovo19514	0	0	0	1	1
denovo19515	0	0	1	0	0
denovo19516	0	1	0	0	0
denovo19517	0	0	0	0	1
denovo19510	1	0	0	0	0
denovo19511	0	46	28	4	1
denovo19512	0	0	0	0	1
denovo19513	0	0	0	1	0
denovo6423	0	0	1	0	0
denovo6422	1	0	0	0	0
denovo23713	0	1	0	0	0
denovo6421	0	1	0	0	0
denovo23712	1	0	0	0	0
denovo23711	1	0	0	0	0
denovo23710	0	1	0	0	0
denovo23717	0	0	1	0	0
denovo23716	0	0	1	0	0
denovo6420	0	0	0	1	0
denovo23715	0	0	1	0	0
denovo23714	0	0	1	3	2
denovo23719	0	0	0	1	0
denovo23718	0	0	0	1	0
denovo24259	0	1	0	0	0
denovo24258	1	0	0	0	0
denovo24257	0	1	1	0	0
denovo24256	0	0	0	0	1
denovo24255	0	1	0	0	0
denovo24254	0	1	0	0	0
denovo24253	0	1	0	0	0
denovo24252	0	0	1	0	0
denovo24251	1	0	0	0	0
denovo24250	0	0	0	1	0
denovo22941	0	2	0	0	0
denovo22940	0	0	0	1	0
denovo22943	1	0	0	0	0
denovo22942	0	0	0	1	0
denovo22945	0	0	0	0	1
denovo22944	0	1	0	0	0
denovo22947	0	0	3	2	0
denovo22946	1	0	0	0	0
denovo22949	0	0	2	0	0
denovo22948	0	1	0	0	0
denovo8951	0	3	2	0	0
denovo8950	0	1	0	0	0
denovo8953	0	0	1	0	0
denovo8952	1	0	0	0	0
denovo8955	0	1	0	0	0
denovo8954	0	0	1	0	0
denovo8957	0	0	0	4	0
denovo8956	0	0	1	0	0
denovo8959	0	0	0	1	0
denovo8958	0	0	1	0	0
denovo17725	0	0	0	0	1
denovo26040	1	0	0	0	0
denovo1447	0	1	0	0	0
denovo26041	0	1	0	0	0
denovo21379	0	0	0	0	1
denovo21378	0	0	2	1	0
denovo21377	0	0	0	1	0
denovo21376	0	0	0	0	1
denovo21375	0	1	0	0	0
denovo21374	0	0	1	0	0
denovo21373	0	0	1	0	0
denovo21372	0	0	0	1	0
denovo21371	0	1	0	0	0
denovo21370	0	0	1	0	0
denovo26048	0	0	0	1	0
denovo26049	0	0	1	0	0
denovo18319	0	0	1	0	0
denovo18318	1	0	0	0	0
denovo18311	0	1	0	0	0
denovo18310	0	0	4	22	128
denovo18313	0	1	0	0	0
denovo18312	0	0	1	0	0
denovo18315	0	0	0	0	1
denovo18314	0	0	1	0	0
denovo18317	1	0	0	0	2
denovo18316	0	1	0	0	0
denovo21999	0	1	0	0	0
denovo21998	0	0	0	0	1
denovo10678	0	0	0	1	0
denovo10679	1	0	0	0	0
denovo10676	1	0	0	0	0
denovo10677	1	0	0	0	0
denovo10674	0	0	5	7	3
denovo10675	1	0	0	0	0
denovo10672	0	0	0	0	1
denovo10673	0	0	0	1	0
denovo10670	0	1	0	0	0
denovo10671	0	1	0	0	0
denovo21532	0	0	1	0	0
denovo13099	18	0	0	0	0
denovo13098	0	1	0	0	0
denovo13093	1	0	0	0	0
denovo13092	0	0	0	1	0
denovo13091	0	0	0	1	1
denovo13090	1	0	0	0	0
denovo13097	0	0	0	0	1
denovo13096	0	0	0	1	0
denovo13095	0	1	0	0	0
denovo13094	0	0	1	0	0
denovo3907	0	0	0	1	0
denovo3906	1	0	0	0	0
denovo3905	1	0	0	0	0
denovo3904	0	0	1	0	0
denovo3903	0	1	0	0	0
denovo3902	0	0	0	1	0
denovo3901	0	0	1	0	0
denovo3900	0	0	0	1	0
denovo13325	0	0	0	0	1
denovo13324	0	1	0	0	0
denovo13327	0	0	0	0	1
denovo13326	0	1	0	0	0
denovo13321	0	0	0	1	0
denovo13320	0	1	0	0	0
denovo3909	0	0	0	1	0
denovo3908	0	0	0	2	0
denovo6999	0	0	1	0	0
denovo16318	1	0	0	0	0
denovo6997	0	1	0	0	0
denovo6996	0	0	1	0	0
denovo6995	0	0	0	0	1
denovo6994	0	1	0	0	0
denovo6993	0	1	0	0	0
denovo16312	0	11	25	19	3
denovo16311	0	2	1	0	3
denovo16310	0	1	0	0	0
denovo23267	0	0	0	1	0
denovo23266	0	0	0	2	0
denovo23265	0	1	0	0	0
denovo23264	1	0	0	0	0
denovo23263	0	1	0	0	0
denovo23262	0	0	0	1	0
denovo23261	0	0	0	1	0
denovo23260	0	0	1	0	0
denovo23269	1	0	0	0	0
denovo23268	0	2	0	0	0
denovo1413	2	0	0	0	0
denovo1412	0	0	1	0	0
denovo1411	14	0	0	0	0
denovo1410	0	1	0	0	0
denovo1417	0	0	0	2	0
denovo1416	0	1	0	0	0
denovo1415	1	0	0	0	0
denovo1414	0	0	0	1	0
denovo1419	0	0	0	1	0
denovo1418	0	0	0	1	0
denovo17958	1	0	0	0	0
denovo17959	1	0	0	0	0
denovo17956	0	0	0	1	0
denovo17957	0	0	0	1	0
denovo17954	0	1	0	0	0
denovo17955	0	0	1	0	0
denovo17952	0	2	0	0	0
denovo17953	0	1	0	0	0
denovo17950	0	0	0	1	0
denovo17951	0	1	2	0	0
denovo7716	0	1	0	0	0
denovo7717	0	0	0	1	0
denovo7714	0	0	0	0	1
denovo7715	0	0	0	1	0
denovo7712	0	0	0	1	0
denovo7713	0	0	1	0	0
denovo7710	0	0	0	1	0
denovo7711	0	1	0	0	0
denovo7718	0	1	1	0	0
denovo7719	0	0	1	2	0
denovo5419	0	0	0	1	0
denovo5418	0	0	0	0	1
denovo5417	0	1	0	0	0
denovo5416	0	0	0	1	0
denovo5415	0	0	1	0	0
denovo5414	0	0	1	0	0
denovo5413	0	0	1	0	0
denovo5412	0	0	1	0	0
denovo5411	0	0	0	4	6
denovo5410	0	0	0	1	0
denovo9743	0	0	2	0	0
denovo9742	0	0	1	0	0
denovo9741	0	0	1	0	0
denovo9740	0	0	0	1	0
denovo9747	0	1	0	0	0
denovo9746	0	1	0	0	0
denovo9745	1	0	0	0	0
denovo9744	0	0	1	0	0
denovo2298	0	0	1	1	5
denovo2299	0	0	0	1	0
denovo9749	0	0	0	1	0
denovo9748	0	0	1	0	1
denovo21991	0	0	0	1	0
denovo17651	1	0	2	0	0
denovo21990	0	0	1	0	0
denovo17650	0	1	0	0	0
denovo21997	0	0	1	0	0
denovo17653	0	0	0	1	0
denovo21996	0	0	0	1	0
denovo17652	3	13	34	28	40
denovo21995	0	0	1	0	0
denovo17655	0	1	0	0	0
denovo21994	0	0	1	0	0
denovo18606	0	1	0	0	0
denovo17657	0	0	0	1	0
denovo17656	2	0	0	0	0
denovo2878	0	0	0	2	0
denovo2879	0	0	1	0	0
denovo2874	0	0	0	0	1
denovo2875	0	1	0	0	0
denovo2876	0	0	0	0	1
denovo2877	0	1	0	0	0
denovo2870	0	4	0	0	0
denovo2871	0	0	1	0	0
denovo2872	0	0	1	0	0
denovo2873	0	0	2	1	0
denovo6148	2	0	0	0	0
denovo6149	0	1	5	1	0
denovo6144	0	0	0	1	0
denovo6145	0	0	1	0	0
denovo6146	0	1	0	0	0
denovo6147	0	0	1	0	0
denovo6140	0	0	0	1	0
denovo6141	0	1	0	0	0
denovo6142	0	1	0	0	0
denovo6143	0	1	0	0	0
denovo4436	0	0	1	0	0
denovo4437	0	0	0	1	0
denovo4434	0	0	0	0	1
denovo4435	0	1	0	0	0
denovo4432	0	1	0	0	0
denovo4433	0	0	0	0	1
denovo4430	0	0	0	1	0
denovo4431	0	1	0	0	0
denovo4438	0	1	0	0	0
denovo4439	0	1	0	0	0
denovo25401	0	0	0	1	0
denovo25400	0	2	0	2	2
denovo25403	0	1	0	0	0
denovo25402	1	0	0	0	0
denovo25405	0	0	0	1	0
denovo25404	4	1	0	0	0
denovo25407	0	1	0	0	0
denovo25406	0	1	0	0	0
denovo271	0	1	0	0	0
denovo270	0	0	0	3	0
denovo273	0	0	1	0	0
denovo272	0	0	0	2	0
denovo275	0	0	1	0	0
denovo274	0	0	1	0	0
denovo277	0	0	1	0	0
denovo276	0	0	1	0	0
denovo279	0	1	0	0	0
denovo278	0	0	0	5	32
denovo19499	0	0	2	20	6
denovo19498	0	0	0	1	0
denovo19491	0	0	0	1	0
denovo19490	0	1	0	0	0
denovo19493	0	0	0	1	0
denovo19492	0	1	0	0	0
denovo19495	1	0	0	0	0
denovo19494	0	0	0	2	0
denovo19497	0	0	0	1	0
denovo19496	18	0	0	0	0
denovo14171	0	0	1	0	0
denovo14170	0	0	0	2	0
denovo14173	0	0	1	0	0
denovo14172	0	0	1	0	0
denovo14175	0	0	1	0	0
denovo14174	0	0	1	0	0
denovo14177	0	0	0	1	0
denovo14176	2	0	0	0	0
denovo14179	0	0	1	0	0
denovo14178	0	0	1	0	0
denovo11307	0	0	1	0	0
denovo22336	0	0	1	0	0
denovo22337	0	0	0	1	0
denovo22334	0	0	0	1	0
denovo22335	0	0	0	1	0
denovo22332	1	0	0	0	0
denovo22333	1	0	0	0	0
denovo22330	0	0	1	0	0
denovo22331	0	0	0	1	0
denovo22338	0	0	0	1	0
denovo22339	0	1	0	0	0
denovo12436	0	0	0	1	0
denovo12437	0	1	3	0	0
denovo12434	0	1	0	0	0
denovo12435	0	0	1	0	0
denovo12432	0	0	1	0	0
denovo12433	0	2	0	0	0
