	Green	Pink	Brown	S1	S2
denovo1985	0	0	0	1	0
denovo1984	0	0	0	1	0
denovo1987	0	0	0	1	0
denovo1986	0	0	0	0	1
denovo1989	0	1	0	0	0
denovo1988	0	0	0	1	0
denovo16029	1	0	0	0	0
denovo16028	0	0	0	1	0
denovo16021	0	0	0	1	0
denovo16020	1	0	0	0	0
denovo16023	0	0	1	0	0
denovo16022	0	0	0	0	1
denovo16025	0	0	3	0	0
denovo16024	0	0	1	0	0
denovo16027	0	0	1	0	0
denovo16026	0	1	0	0	0
denovo6513	0	0	1	0	0
denovo16792	3	0	0	0	0
denovo6511	0	1	0	0	0
denovo6510	0	0	1	0	0
denovo6517	0	0	0	0	1
denovo6516	1	0	0	0	0
denovo6515	0	0	1	0	0
denovo6514	0	0	0	0	1
denovo6519	0	0	1	0	0
denovo6518	1	0	0	0	0
denovo23819	0	0	5	1	0
denovo4858	0	0	1	0	0
denovo4859	1	0	0	0	0
denovo4850	2	0	0	0	0
denovo4851	0	1	0	0	0
denovo4852	0	0	1	0	0
denovo4853	0	1	0	0	0
denovo4854	0	0	0	1	0
denovo4855	1	0	0	0	0
denovo4856	0	0	0	3	0
denovo4857	1	1	0	0	0
denovo8168	0	0	0	1	0
denovo8169	0	1	0	0	0
denovo8164	0	0	0	2	0
denovo8165	0	0	1	0	0
denovo8166	0	1	0	0	0
denovo8167	0	1	0	0	0
denovo8160	0	1	2	1	0
denovo8161	0	1	0	0	0
denovo8162	0	0	1	0	0
denovo8163	1	0	0	0	0
denovo10979	0	0	0	1	0
denovo10978	0	1	0	0	0
denovo11222	0	1	0	0	0
denovo11223	0	1	0	0	0
denovo11220	0	0	0	1	0
denovo11221	0	1	0	0	0
denovo11226	1	0	0	0	0
denovo11227	0	1	1	0	0
denovo11224	0	0	0	1	0
denovo11225	9	0	0	0	0
denovo11228	0	1	0	0	0
denovo11229	0	1	0	1	0
denovo5729	0	1	0	0	0
denovo5728	0	1	0	0	0
denovo25205	1	0	0	0	0
denovo25204	1	0	0	0	0
denovo25203	0	1	2	1	0
denovo25202	0	0	0	1	0
denovo25201	0	1	0	1	0
denovo25200	0	0	0	1	0
denovo5721	1	0	0	0	0
denovo5720	0	0	1	0	0
denovo5723	1	0	0	0	0
denovo5722	0	0	0	1	0
denovo5725	0	0	1	2	0
denovo5724	0	0	1	0	0
denovo5727	0	1	0	0	0
denovo5726	0	0	1	0	0
denovo3073	0	0	0	1	0
denovo3072	0	2	0	0	0
denovo3071	0	0	1	0	0
denovo3070	1	0	0	0	0
denovo3077	1	0	0	0	0
denovo3076	0	0	1	0	0
denovo3075	1	0	0	0	0
denovo3074	0	0	0	1	0
denovo3079	0	0	0	1	0
denovo3078	0	0	1	0	0
denovo21498	0	0	1	0	0
denovo675	0	12	2	2	0
denovo674	0	2	0	0	0
denovo677	0	0	1	0	0
denovo676	0	0	1	0	0
denovo671	0	0	1	0	0
denovo670	0	0	0	1	0
denovo673	0	0	1	0	0
denovo672	1	0	0	0	0
denovo679	0	0	0	1	0
denovo678	0	0	0	1	1
denovo15048	0	0	0	1	0
denovo15049	0	1	0	0	0
denovo15042	0	0	1	0	0
denovo15043	0	0	0	2	0
denovo15040	0	0	0	1	0
denovo15041	0	0	0	1	0
denovo15046	0	0	0	1	0
denovo15047	0	0	1	0	0
denovo15044	0	0	0	1	0
denovo15045	0	0	0	0	1
denovo19103	0	1	0	0	0
denovo14350	0	0	1	0	1
denovo19101	0	0	1	0	0
denovo19100	0	0	1	0	0
denovo19107	0	4	32	68	31
denovo19106	1	0	0	0	0
denovo14357	0	12	16	14	9
denovo14356	0	0	0	1	0
denovo21971	1	0	0	0	0
denovo21970	0	0	0	1	0
denovo21973	3	0	0	0	0
denovo21972	0	0	0	1	0
denovo21975	0	1	0	0	2
denovo21974	0	0	1	0	0
denovo21977	0	1	0	0	0
denovo21976	0	1	0	0	0
denovo21979	0	0	0	1	0
denovo21978	0	0	0	1	0
denovo14799	0	0	1	0	0
denovo14798	0	0	1	0	0
denovo14791	1	0	0	0	0
denovo14790	0	0	0	1	0
denovo14793	1	0	0	0	0
denovo14792	0	0	1	0	0
denovo14795	0	0	0	0	1
denovo14794	0	0	1	0	0
denovo14797	0	0	0	1	0
denovo14796	0	0	3	0	0
denovo13071	0	0	1	0	0
denovo13070	0	0	1	0	0
denovo13073	0	0	0	0	1
denovo13072	1	0	0	0	0
denovo13075	0	0	1	0	0
denovo13074	1	0	0	0	0
denovo13077	1	0	0	0	0
denovo13076	0	0	1	0	0
denovo13079	0	1	0	1	0
denovo13078	0	0	1	0	0
denovo19017	0	0	1	0	0
denovo19016	0	1	0	0	0
denovo19011	0	0	0	0	1
denovo19010	0	0	0	1	0
denovo19013	1	0	0	0	0
denovo19012	0	0	0	1	0
denovo12300	1	0	0	0	0
denovo12301	0	0	0	3	7
denovo12302	2	0	0	0	0
denovo12303	1	0	0	0	0
denovo12304	1	0	0	0	0
denovo12305	0	0	1	0	0
denovo12306	1	0	0	0	0
denovo12307	0	0	0	1	0
denovo12308	1	0	0	0	0
denovo12309	0	0	0	1	0
denovo22400	0	0	0	1	0
denovo22401	0	1	0	0	0
denovo22402	0	0	0	1	0
denovo22403	0	0	0	0	1
denovo22404	0	0	1	0	0
denovo22405	0	0	1	0	0
denovo22406	3	0	0	0	0
denovo22407	1	0	0	0	0
denovo22408	0	1	0	0	0
denovo22409	7	0	0	0	0
denovo20318	1	0	0	0	0
denovo20319	1	0	0	0	0
denovo20312	1	0	0	0	0
denovo20313	0	0	0	0	1
denovo20310	0	0	0	1	0
denovo20311	0	0	0	1	0
denovo20316	0	1	0	0	0
